image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_2.started,StartBox.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,image_2.started,text_4.started,button.started,button.numClicks,button.timesOn,button.timesOff,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,34.758773282999755,36.76740560500184,36.76740560500184,0.008869128992955666,[-0.01619047619047619],[-0.3038095238095238],[1],[0],[0],[1.5419613899939577],['StartBox'],,,,,,,,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark_12.JPG,0,0,0,0,,,,,,,,,,,,38.76574274700397,38.76574274700397,38.76574274700397,1,[4.776003926999692],[4.776012191003247],,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark_11.jPG,0,1,1,1,,,,,,,,,,,,43.8805821950009,43.8805821950009,43.8805821950009,2,"[4.776003926999692, 0.8439483710026252]","[4.776012191003247, 0.8439595970048686]",,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark_7.JPG,0,2,2,2,,,,,,,,,,,,45.048503139005334,45.048503139005334,45.048503139005334,3,"[4.776003926999692, 0.8439483710026252, 0.7707627530035097]","[4.776012191003247, 0.8439595970048686, 0.7707666120040813]",,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark_8.JPG,0,3,3,3,,,,,,,,,,,,46.205183935002424,46.205183935002424,46.205183935002424,4,"[4.776003926999692, 0.8439483710026252, 0.7707627530035097, 0.5908072790043661]","[4.776012191003247, 0.8439595970048686, 0.7707666120040813, 0.5908115440033725]",,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark_9.JPG,0,4,4,4,,,,,,,,,,,,47.0757381930016,47.0757381930016,47.0757381930016,5,"[4.776003926999692, 0.8439483710026252, 0.7707627530035097, 0.5908072790043661, 0.6855434859971865]","[4.776012191003247, 0.8439595970048686, 0.7707666120040813, 0.5908115440033725, 0.6855535959984991]",,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark_10.JPG,0,5,5,5,,,,,,,,,,,,48.02210060699872,48.02210060699872,48.02210060699872,6,"[4.776003926999692, 0.8439483710026252, 0.7707627530035097, 0.5908072790043661, 0.6855434859971865, 0.5147063319964218]","[4.776012191003247, 0.8439595970048686, 0.7707666120040813, 0.5908115440033725, 0.6855535959984991, 0.5147113069979241]",,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark_3.JPG,0,6,6,6,,,,,,,,,,,,48.788894557001186,48.788894557001186,48.788894557001186,7,"[4.776003926999692, 0.8439483710026252, 0.7707627530035097, 0.5908072790043661, 0.6855434859971865, 0.5147063319964218, 0.44683072400221135]","[4.776012191003247, 0.8439595970048686, 0.7707666120040813, 0.5908115440033725, 0.6855535959984991, 0.5147113069979241, 0.4468346770008793]",,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark_6.JPG,0,7,7,7,,,,,,,,,,,,49.51513473800151,49.51513473800151,49.51513473800151,8,"[4.776003926999692, 0.8439483710026252, 0.7707627530035097, 0.5908072790043661, 0.6855434859971865, 0.5147063319964218, 0.44683072400221135, 0.4476929829979781]","[4.776012191003247, 0.8439595970048686, 0.7707666120040813, 0.5908115440033725, 0.6855535959984991, 0.5147113069979241, 0.4468346770008793, 0.44769627299683634]",,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark_1.JPG,0,8,8,8,,,,,,,,,,,,50.237059817001864,50.237059817001864,50.237059817001864,9,"[4.776003926999692, 0.8439483710026252, 0.7707627530035097, 0.5908072790043661, 0.6855434859971865, 0.5147063319964218, 0.44683072400221135, 0.4476929829979781, 1.3637417319987435]","[4.776012191003247, 0.8439595970048686, 0.7707666120040813, 0.5908115440033725, 0.6855535959984991, 0.5147113069979241, 0.4468346770008793, 0.44769627299683634, 1.3637462170008803]",,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark_4.JPG,0,9,9,9,,,,,,,,,,,,51.883624361005786,51.883624361005786,51.883624361005786,10,"[4.776003926999692, 0.8439483710026252, 0.7707627530035097, 0.5908072790043661, 0.6855434859971865, 0.5147063319964218, 0.44683072400221135, 0.4476929829979781, 1.3637417319987435, 1.1592049009996117]","[4.776012191003247, 0.8439595970048686, 0.7707666120040813, 0.5908115440033725, 0.6855535959984991, 0.5147113069979241, 0.4468346770008793, 0.44769627299683634, 1.3637462170008803, 1.1592228789959336]",,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark_2.JPG,0,10,10,10,,,,,,,,,,,,53.32547421000345,53.32547421000345,53.32547421000345,11,"[4.776003926999692, 0.8439483710026252, 0.7707627530035097, 0.5908072790043661, 0.6855434859971865, 0.5147063319964218, 0.44683072400221135, 0.4476929829979781, 1.3637417319987435, 1.1592049009996117, 0.9114448749969597]","[4.776012191003247, 0.8439595970048686, 0.7707666120040813, 0.5908115440033725, 0.6855535959984991, 0.5147113069979241, 0.4468346770008793, 0.44769627299683634, 1.3637462170008803, 1.1592228789959336, 0.9114493079978274]",,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark_5.JPG,0,11,11,11,,,,,,,,,,,,54.50765770600265,54.50765770600265,54.50765770600265,12,"[4.776003926999692, 0.8439483710026252, 0.7707627530035097, 0.5908072790043661, 0.6855434859971865, 0.5147063319964218, 0.44683072400221135, 0.4476929829979781, 1.3637417319987435, 1.1592049009996117, 0.9114448749969597, 0.5840051929990295]","[4.776012191003247, 0.8439595970048686, 0.7707666120040813, 0.5908115440033725, 0.6855535959984991, 0.5147113069979241, 0.4468346770008793, 0.44769627299683634, 1.3637462170008803, 1.1592228789959336, 0.9114493079978274, 0.5840090009951382]",,,636175,001,2023-05-09_11h47.11.376,SEAL_LandmarkPoint,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,55.08774844000436,57.08516659399902,,,,,,,
